Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","051","Armenia","5419","Yield","0111","Wheat","2019","2019","100 g/ha","19565","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5510","Production","0111","Wheat","2019","2019","t","112621","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5312","Area harvested","0111","Wheat","2020","2020","ha","58572","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5419","Yield","0111","Wheat","2020","2020","100 g/ha","22528","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5510","Production","0111","Wheat","2020","2020","t","131951.2","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5312","Area harvested","0111","Wheat","2021","2021","ha","39288","I","Imputed value",""
"QCL","Crops and livestock products","051","Armenia","5419","Yield","0111","Wheat","2021","2021","100 g/ha","24689","E","Estimated value",""
"QCL","Crops and livestock products","051","Armenia","5510","Production","0111","Wheat","2021","2021","t","97000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2019","2019","ha","10402271","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5419","Yield","0111","Wheat","2019","2019","100 g/ha","16917","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2019","2019","t","17597560.79","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2020","2020","ha","9863184","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5419","Yield","0111","Wheat","2020","2020","100 g/ha","14681","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2020","2020","t","14480217.44","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","0111","Wheat","2021","2021","ha","12643216","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5419","Yield","0111","Wheat","2021","2021","100 g/ha","25249","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2021","2021","t","31922554.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2019","2019","ha","278340","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2019","2019","100 g/ha","57372","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2019","2019","t","1596880","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2020","2020","ha","279020","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2020","2020","100 g/ha","59234","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2020","2020","t","1652740","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","2021","2021","ha","279860","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5419","Yield","0111","Wheat","2021","2021","100 g/ha","55299","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2021","2021","t","1547600","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","0111","Wheat","2019","2019","ha","669993","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","0111","Wheat","2019","2019","100 g/ha","31555","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","0111","Wheat","2019","2019","t","2114138.8","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","0111","Wheat","2020","2020","ha","588415","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","0111","Wheat","2020","2020","100 g/ha","30908","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","0111","Wheat","2020","2020","t","1818664.8","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","0111","Wheat","2021","2021","ha","572309","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","0111","Wheat","2021","2021","100 g/ha","32101","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","0111","Wheat","2021","2021","t","1837188.4","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0111","Wheat","2019","2019","ha","330348","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","0111","Wheat","2019","2019","100 g/ha","30780","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0111","Wheat","2019","2019","t","1016811","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0111","Wheat","2020","2020","ha","332254","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","0111","Wheat","2020","2020","100 g/ha","30970","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0111","Wheat","2020","2020","t","1029000","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0111","Wheat","2021","2021","ha","328938","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","0111","Wheat","2021","2021","100 g/ha","32996","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0111","Wheat","2021","2021","t","1085368","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5312","Area harvested","0111","Wheat","2019","2019","ha","693831","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5419","Yield","0111","Wheat","2019","2019","100 g/ha","33274","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2019","2019","t","2308660","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5312","Area harvested","0111","Wheat","2020","2020","ha","722711","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5419","Yield","0111","Wheat","2020","2020","100 g/ha","39413","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2020","2020","t","2848391","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5312","Area harvested","0111","Wheat","2021","2021","ha","726300","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5419","Yield","0111","Wheat","2021","2021","100 g/ha","33609","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2021","2021","t","2441000","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2019","2019","ha","203760","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2019","2019","100 g/ha","93364","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2019","2019","t","1902380","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2020","2020","ha","194660","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2020","2020","100 g/ha","89463","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2020","2020","t","1741480","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5312","Area harvested","0111","Wheat","2021","2021","ha","209180","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5419","Yield","0111","Wheat","2021","2021","100 g/ha","77884","A","Official figure",""
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2021","2021","t","1629180","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5312","Area harvested","0111","Wheat","2019","2019","ha","1004","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","0111","Wheat","2019","2019","100 g/ha","13130","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5510","Production","0111","Wheat","2019","2019","t","1318.54","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5312","Area harvested","0111","Wheat","2020","2020","ha","995","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","0111","Wheat","2020","2020","100 g/ha","16321","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5510","Production","0111","Wheat","2020","2020","t","1623.24","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5312","Area harvested","0111","Wheat","2021","2021","ha","926","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","0111","Wheat","2021","2021","100 g/ha","12624","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5510","Production","0111","Wheat","2021","2021","t","1168.94","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0111","Wheat","2019","2019","ha","197713","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","0111","Wheat","2019","2019","100 g/ha","11993","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0111","Wheat","2019","2019","t","237127","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0111","Wheat","2020","2020","ha","204546","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","0111","Wheat","2020","2020","100 g/ha","15220","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0111","Wheat","2020","2020","t","311310","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","0111","Wheat","2021","2021","ha","200793","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","0111","Wheat","2021","2021","100 g/ha","16745","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0111","Wheat","2021","2021","t","336222.5","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5312","Area harvested","0111","Wheat","2019","2019","ha","68965","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5419","Yield","0111","Wheat","2019","2019","100 g/ha","38392","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5510","Production","0111","Wheat","2019","2019","t","264769","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5312","Area harvested","0111","Wheat","2020","2020","ha","69914","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5419","Yield","0111","Wheat","2020","2020","100 g/ha","46029","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5510","Production","0111","Wheat","2020","2020","t","321804","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5312","Area harvested","0111","Wheat","2021","2021","ha","65649","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5419","Yield","0111","Wheat","2021","2021","100 g/ha","47888","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5510","Production","0111","Wheat","2021","2021","t","314382","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","0111","Wheat","2019","2019","ha","620","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5419","Yield","0111","Wheat","2019","2019","100 g/ha","6081","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","0111","Wheat","2019","2019","t","377","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","0111","Wheat","2020","2020","ha","755","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5419","Yield","0111","Wheat","2020","2020","100 g/ha","13615","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","0111","Wheat","2020","2020","t","1028.1","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5312","Area harvested","0111","Wheat","2021","2021","ha","852","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5419","Yield","0111","Wheat","2021","2021","100 g/ha","15023","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","0111","Wheat","2021","2021","t","1280","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2019","2019","ha","2103578","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2019","2019","100 g/ha","26578","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2019","2019","t","5590815","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2020","2020","ha","2434703","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2020","2020","100 g/ha","26073","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2020","2020","t","6347987","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0111","Wheat","2021","2021","ha","2750264","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0111","Wheat","2021","2021","100 g/ha","28632","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2021","2021","t","7874525","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5312","Area harvested","0111","Wheat","2019","2019","ha","1198680","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5419","Yield","0111","Wheat","2019","2019","100 g/ha","52722","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2019","2019","t","6319630","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5312","Area harvested","0111","Wheat","2020","2020","ha","1200180","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5419","Yield","0111","Wheat","2020","2020","100 g/ha","40393","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2020","2020","t","4847940","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5312","Area harvested","0111","Wheat","2021","2021","ha","1206190","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5419","Yield","0111","Wheat","2021","2021","100 g/ha","60878","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2021","2021","t","7342990","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5312","Area harvested","0111","Wheat","2019","2019","ha","7645","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5419","Yield","0111","Wheat","2019","2019","100 g/ha","6402","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","0111","Wheat","2019","2019","t","4894","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5312","Area harvested","0111","Wheat","2020","2020","ha","12077","I","Imputed value",""
"QCL","Crops and livestock products","108","Burundi","5419","Yield","0111","Wheat","2020","2020","100 g/ha","7150","E","Estimated value",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","0111","Wheat","2020","2020","t","8634.72","I","Imputed value",""
"QCL","Crops and livestock products","108","Burundi","5312","Area harvested","0111","Wheat","2021","2021","ha","12209","I","Imputed value",""
"QCL","Crops and livestock products","108","Burundi","5419","Yield","0111","Wheat","2021","2021","100 g/ha","7213","E","Estimated value",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","0111","Wheat","2021","2021","t","8806.53","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5312","Area harvested","0111","Wheat","2019","2019","ha","374","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","0111","Wheat","2019","2019","100 g/ha","13360","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","0111","Wheat","2019","2019","t","500","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5312","Area harvested","0111","Wheat","2020","2020","ha","326","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","0111","Wheat","2020","2020","100 g/ha","13363","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","0111","Wheat","2020","2020","t","435.8","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5312","Area harvested","0111","Wheat","2021","2021","ha","474","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","0111","Wheat","2021","2021","100 g/ha","13366","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","0111","Wheat","2021","2021","t","633.02","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0111","Wheat","2019","2019","ha","9655800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","0111","Wheat","2019","2019","100 g/ha","33834","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0111","Wheat","2019","2019","t","32669800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0111","Wheat","2020","2020","ha","10017800","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","0111","Wheat","2020","2020","100 g/ha","35374","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0111","Wheat","2020","2020","t","35437200","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","0111","Wheat","2021","2021","ha","9247000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","0111","Wheat","2021","2021","100 g/ha","24112","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0111","Wheat","2021","2021","t","22296100","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0111","Wheat","2019","2019","ha","862","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5419","Yield","0111","Wheat","2019","2019","100 g/ha","18712","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0111","Wheat","2019","2019","t","1613","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0111","Wheat","2020","2020","ha","1003","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5419","Yield","0111","Wheat","2020","2020","100 g/ha","18096","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0111","Wheat","2020","2020","t","1815","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5312","Area harvested","0111","Wheat","2021","2021","ha","801","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5419","Yield","0111","Wheat","2021","2021","100 g/ha","19225","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0111","Wheat","2021","2021","t","1539.53","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","0111","Wheat","2019","2019","ha","222705","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5419","Yield","0111","Wheat","2019","2019","100 g/ha","62860","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0111","Wheat","2019","2019","t","1399919","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","0111","Wheat","2020","2020","ha","205036","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5419","Yield","0111","Wheat","2020","2020","100 g/ha","60038","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0111","Wheat","2020","2020","t","1230988","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","0111","Wheat","2021","2021","ha","226275","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5419","Yield","0111","Wheat","2021","2021","100 g/ha","59821","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0111","Wheat","2021","2021","t","1353607.94","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0111","Wheat","2019","2019","ha","23732560","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","0111","Wheat","2019","2019","100 g/ha","56294","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0111","Wheat","2019","2019","t","133601131","A","Official figure",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0111","Wheat","2020","2020","ha","23383000","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0111","Wheat","2020","2020","100 g/ha","57416","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0111","Wheat","2020","2020","t","134256000","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","0111","Wheat","2021","2021","ha","23571400","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0111","Wheat","2021","2021","100 g/ha","58101","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","0111","Wheat","2021","2021","t","136952000","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0111","Wheat","2019","2019","ha","23730000","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","0111","Wheat","2019","2019","100 g/ha","56298","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","0111","Wheat","2019","2019","t","133596300","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0111","Wheat","2020","2020","ha","23380000","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","0111","Wheat","2020","2020","100 g/ha","57421","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","0111","Wheat","2020","2020","t","134250000","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0111","Wheat","2021","2021","ha","23568400","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","0111","Wheat","2021","2021","100 g/ha","58106","A","Official figure",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","0111","Wheat","2021","2021","t","136946000","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5312","Area harvested","0111","Wheat","2019","2019","ha","2560","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5419","Yield","0111","Wheat","2019","2019","100 g/ha","18871","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","0111","Wheat","2019","2019","t","4831","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5312","Area harvested","0111","Wheat","2020","2020","ha","3000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","158","China, Taiwan Province of","5419","Yield","0111","Wheat","2020","2020","100 g/ha","20000","E","Estimated value",""
